"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","budget","dataset","epochs","fanout","hidden","layer","mode","num_parts","num_threads","run","sampler","seed","fastladies","accuracy","auroc","dataloading time","end-to-end time","equality","f1","inference time","loss","modelpath","num_edges","num_nodes","overall training time","parity","process cpu times","sampling time","system cpu stats","system cpu times","test-acc","test-auroc","test-f1","time per epoch","used memory","used memory full","sampled_edges","sampled_nodes"
"gcn-pokec-z-cluster-cpu-32-20-2-16-150000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:57:10.000Z","127","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","150000","32","2","cluster","10","","0.9189037680625916","0.5","5.8295394368469715","122.46071757748724","779292.9375","0","2.156960092484951","-11665.36715428359","2024-06-26-15-57-10-gcn-pokec-z-cluster-cpu-32-20-2-16-150000-1024-[0]-None-1000.pkl","1371508","67796","108.61116750538348","30277.890625","[1813.62,13.15,0.02,0.07,0]","4.253612846136093","[18249295652,117391635203,119721934163,0]","[361318030.99,5720.21,26740182.54,557982173.6,9226.28,0,35133.65,1911411.88,0,0]","0.4641465246677398","0.5","0","5.430167948640883","972.8125","[1020067840,8510676992,237264896,2838528,0,3419635712,0,1000853504,1005202432,0]","1692","515"
"gcn-pokec-z-cluster-cpu-32-20-2-16-121000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:55:19.000Z","102","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","121000","32","2","cluster","10","","0.9189037680625916","0.5","5.766392387449741","98.11536721140146","397989.6875","0","1.8399210050702095","-5944.20352711397","2024-06-26-15-55-19-gcn-pokec-z-cluster-cpu-32-20-2-16-121000-1024-[0]-None-1000.pkl","1371508","67796","84.85724962130189","15460.59375","[1447.32,12.19,0.03,0.05,0]","3.873468168079853","[18248704578,117390853736,119721170072,0]","[361316216.07,5720.21,26740166.24,557979678.92,9226.21,0,35133.62,1911402.73,0,0]","0.4641465246677398","0.5","0","4.242378266528249","972.359375","[1019592704,8508485632,236920832,2838528,0,3417600000,0,1000509440,1004986368,0]","2402","696"
"gcn-pokec-z-cluster-cpu-32-20-2-16-92000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:53:46.000Z","84","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","92000","32","2","cluster","10","","0.9189037680625916","0.5","5.763660099357367","80.19139903783798","198430.21875","0","2.003772735595703","-2977.249853515625","2024-06-26-15-53-46-gcn-pokec-z-cluster-cpu-32-20-2-16-92000-1024-[0]-None-1000.pkl","1371508","67796","67.12360178679228","7709.625","[1147.2,11.16,0.02,0.06,0]","3.524141512811184","[18248274423,117390240938,119720553451,0]","[361314772.01,5720.21,26740151.1,557977589.8,9226.1,0,35133.56,1911396.2,0,0]","0.4641465246677398","0.5","0","3.3557368395850062","952.078125","[998326272,8486789120,238473216,2838528,0,3396759552,0,978800640,983219200,0]","2414","721"
"gcn-pokec-z-cluster-cpu-32-20-2-16-63000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:52:33.000Z","63","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","63000","32","2","cluster","10","","0.9189037680625916","0.5","5.771741487085819","59.13076623156667","206153.515625","0","1.8263990469276905","-3087.3635687058973","2024-06-26-15-52-33-gcn-pokec-z-cluster-cpu-32-20-2-16-63000-1024-[0]-None-1000.pkl","1371508","67796","46.51860440149903","8006.671875","[831.64,11.39,0.02,0.06,0]","3.2314921878278255","[18247933114,117389752811,119720073208,0]","[361313621.53,5720.21,26740137.02,557975758.52,9226.04,0,35133.48,1911390.27,0,0]","0.4641465246677398","0.5","0","2.325532589107752","952.94140625","[999362560,8487436288,238129152,2838528,0,3398488064,0,979820544,984223744,0]","3648","1092"
"gcn-pokec-z-cluster-cpu-32-20-2-16-34000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:51:40.000Z","44","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","34000","32","2","cluster","10","","0.9189037680625916","0.5","5.759865581989288","40.4785663112998","51496.734375","0","1.7505944073200226","-771.9470250746783","2024-06-26-15-51-41-gcn-pokec-z-cluster-cpu-32-20-2-16-34000-1024-[0]-None-1000.pkl","1371508","67796","28.832076705992225","2001.2294921875","[541.26,10.09,0.01,0.07,0]","2.532082609832287","[18247683269,117389390866,119719715675,0]","[361312790.89,5720.21,26740122.83,557974319.95,9226,0,35133.24,1911385.97,0,0]","0.4641465246677398","0.5","0","1.4411526292562484","954.77734375","[1001156608,8490004480,237613056,2838528,0,3384492032,0,981868544,986281984,0]","7436","2087"
"gcn-pokec-z-cluster-cpu-32-20-2-16-5000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:51:08.000Z","24","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","5000","32","2","cluster","10","","0.9189037680625916","0.364330530166626","5.811550959944725","20.107355438172817","1380.100830078125","0","1.8556579500436785","-21.130064010620117","2024-06-26-15-51-08-gcn-pokec-z-cluster-cpu-32-20-2-16-5000-1024-[0]-None-1000.pkl","1371508","67796","8.812346424907446","53.373077392578125","[213.64,9.46,0.03,0.06,0]","1.854923203587532","[18247479664,117389144855,119719474402,0]","[361312246.91,5720.21,26740109.9,557973191.05,9225.94,0,35133.22,1911383.46,0,0]","0.4641465246677398","0.5152662992477417","0","0.44026098065078256","963.41796875","[1010216960,8495050752,238088192,2838528,0,3388780544,0,990543872,994953216,0]","113274","13906"
"gcn-pokec-z-cluster-cpu-32-20-2-16-3500-1024-[0]-None-1000","finished","-","","","2024-06-26T13:50:36.000Z","23","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","3500","32","2","cluster","10","","0.9189037680625916","0.3671911954879761","5.8068300150334835","19.60267936438322","1311.460693359375","0","1.5861508920788765","-19.85338068008423","2024-06-26-15-50-36-gcn-pokec-z-cluster-cpu-32-20-2-16-3500-1024-[0]-None-1000.pkl","1371508","67796","8.637970294803381","50.26097106933594","[198.37,9.02,0.02,0.06,0]","1.7897008694708347","[18247405764,117389029358,119719376567,0]","[361312029.31,5720.21,26740097.8,557972382.52,9225.92,0,35133.19,1911382.68,0,0]","0.4641465246677398","0.5165511965751648","0","0.4315310209989548","993.44140625","[1041698816,8517971968,237686784,2838528,0,3428876288,0,1022332928,1026742272,0]","191426","19844"
"gcn-pokec-z-cluster-cpu-32-20-2-16-2500-1024-[0]-None-1000","finished","-","","","2024-06-26T13:50:04.000Z","23","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","2500","32","2","cluster","10","","0.9189037680625916","0.3730700612068176","5.794274613261223","19.222077630460262","1176.057373046875","0","1.516319751739502","-17.712730407714844","2024-06-26-15-50-04-gcn-pokec-z-cluster-cpu-32-20-2-16-2500-1024-[0]-None-1000.pkl","1371508","67796","8.411208376288414","44.10273742675781","[182.98,15.78,0.01,0.07,0]","1.7211146168410778","[18247331452,117388917427,119719284186,0]","[361311829.34,5720.21,26740086.02,557971566.04,9225.89,0,35133.18,1911381.75,0,0]","0.4641465246677398","0.5180115103721619","0","0.420109685882926","1041.953125","[1092567040,8572719104,236756992,2838528,0,3476115456,0,1073094656,1077547008,0]","321180","27774"
"gcn-pokec-z-cluster-cpu-32-20-2-16-2250-1024-[0]-None-1000","finished","-","","","2024-06-26T13:49:31.000Z","24","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","2250","32","2","cluster","10","","0.9189037680625916","0.3838664889335632","5.784749835729599","19.980205450206995","304.08831787109375","0","1.8863032422959805","-4.585899035135905","2024-06-26-15-49-31-gcn-pokec-z-cluster-cpu-32-20-2-16-2250-1024-[0]-None-1000.pkl","1371508","67796","8.908217404037714","11.511981964111328","[189.43,20.22,0.01,0.09,0]","1.6345275677740574","[18247263291,117388804198,119719194444,0]","[361311642.99,5720.21,26740067.44,557970742.7,9225.87,0,35133.13,1911381.3,0,0]","0.4641465246677398","0.5411941409111023","0","0.4450413607060909","1082.31640625","[1134891008,8613031936,237060096,2838528,0,3518287872,0,1114726400,1119175680,0]","389752","30859"
"gcn-pokec-z-cluster-cpu-32-20-2-16-2000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:48:58.000Z","24","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","2000","32","2","cluster","10","","0.8587085008621216","0.3822667598724365","5.997386436909437","20.37466271966696","45.21857070922851","0.008077042177319527","1.5593692027032375","-0.12405192479491234","2024-06-26-15-48-59-gcn-pokec-z-cluster-cpu-32-20-2-16-2000-1024-[0]-None-1000.pkl","1371508","67796","9.320879071950912","1.7354068756103516","[192.68,15.1,0.02,0.07,0]","1.7168257907032969","[18247185217,117388684048,119719097742,0]","[361311450.72,5720.21,26740044.5,557969920.18,9225.84,0,35133.11,1911380.69,0,0]","0.46609508991241455","0.6093043684959412","0.008683067746460438","0.4656512994319201","1041.36328125","[1092100096,8576921600,237735936,2838528,0,3471163392,0,1072959488,1077443584,0]","462572","34707"
"gcn-pokec-z-cluster-cpu-32-20-2-16-150000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:36:40.000Z","122","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","150000","32","1","cluster","10","","0.9189037680625916","0.5","5.802957847714424","119.03214944899082","736436.25","0","2.2210319824516773","-11085.42454559949","2024-06-26-15-36-40-gcn-pokec-z-cluster-cpu-32-20-2-16-150000-1024-[0]-None-1000.pkl","1371508","67796","104.64553283527492","28609.796875","[1794.84,14.28,0.01,0.08,0]","4.273015335202217","[18244961471,117385514482,119716137625,0]","[361304550.84,5720.21,26739889.08,557956524.72,9225.41,0,35132.65,1911346.46,0,0]","0.4641465246677398","0.5","0","5.231906018778682","962.875","[1009647616,8499712000,237187072,2838528,0,3408404480,0,990097408,994557952,0]","1462","452"
"gcn-pokec-z-cluster-cpu-32-20-2-16-121000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:34:46.000Z","104","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","121000","32","1","cluster","10","","0.9189037680625916","0.5","5.846203416585922","98.71633431315422","438629.84375","0","1.4779701568186283","-6568.298097754727","2024-06-26-15-34-47-gcn-pokec-z-cluster-cpu-32-20-2-16-121000-1024-[0]-None-1000.pkl","1371508","67796","85.82731678336859","17048.6171875","[1469.17,11.38,0.01,0.08,0]","3.920277331024408","[18244377371,117384746542,119715393603,0]","[361302752.53,5720.21,26739871.41,557954068.04,9225.34,0,35132.55,1911336.48,0,0]","0.4641465246677398","0.5","0","4.2909379914402965","1083.58984375","[1136226304,8626024448,237371392,2838528,0,3535192064,0,1116262400,1120672768,0]","1904","574"
"gcn-pokec-z-cluster-cpu-32-20-2-16-92000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:33:14.000Z","84","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","92000","32","1","cluster","10","","0.9189037680625916","0.5","5.806306939572096","79.67982481792569","169421.375","0","3.6981607042253017","-2531.9987630208334","2024-06-26-15-33-15-gcn-pokec-z-cluster-cpu-32-20-2-16-92000-1024-[0]-None-1000.pkl","1371508","67796","65.04315255582333","6583.67578125","[1164.11,11.77,0.01,0.07,0]","3.5507592633366585","[18243947784,117384133757,119714800150,0]","[361301284.03,5720.21,26739856.95,557951998.82,9225.27,0,35132.53,1911328.93,0,0]","0.4641465246677398","0.5","0","3.2517743265256285","1020.8359375","[1070424064,8563195904,237805568,2838528,0,3472916480,0,1051537408,1055963136,0]","2558","762"
"gcn-pokec-z-cluster-cpu-32-20-2-16-63000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:32:03.000Z","62","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","63000","32","1","cluster","10","","0.9189037680625916","0.5","5.770473152399063","59.063741244375706","223830.5625","0","1.972442951053381","-3349.6301978326615","2024-06-26-15-32-03-gcn-pokec-z-cluster-cpu-32-20-2-16-63000-1024-[0]-None-1000.pkl","1371508","67796","46.50512422248721","8704.58203125","[819.89,10.47,0.02,0.07,0]","3.2256983555853367","[18243574196,117383628871,119714308117,0]","[361300124.72,5720.21,26739842.22,557950243.45,9225.2,0,35132.52,1911321.77,0,0]","0.4641465246677398","0.5","0","2.3249039474874733","925.9921875","[970973184,8459051008,237551616,2838528,0,3369734144,0,951836672,956243968,0]","3634","1081"
"gcn-pokec-z-cluster-cpu-32-20-2-16-34000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:31:09.000Z","45","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","34000","32","1","cluster","10","","0.9189037680625916","0.5","5.769692316651344","40.55695550143719","60683.65625","0","1.5926239602267742","-904.3406569536994","2024-06-26-15-31-09-gcn-pokec-z-cluster-cpu-32-20-2-16-34000-1024-[0]-None-1000.pkl","1371508","67796","28.844466671347615","2356.015625","[536.85,10.36,0.02,0.07,0]","2.554183803498745","[18243320062,117383267898,119713961922,0]","[361299311.65,5720.21,26739829.05,557948765.79,9225.15,0,35132.46,1911317.97,0,0]","0.4641465246677398","0.5","0","1.4418365892022849","1032.86328125","[1083035648,8572018688,237789184,2838528,0,3462737920,0,1063800832,1068137472,0]","7552","2068"
"gcn-pokec-z-cluster-cpu-32-20-2-16-5000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:30:35.000Z","25","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","5000","32","1","cluster","10","","0.9189037680625916","0.3564003109931946","5.863415114581585","20.423975344747305","1955.72802734375","0","1.622459691017866","-29.54585380554199","2024-06-26-15-30-36-gcn-pokec-z-cluster-cpu-32-20-2-16-5000-1024-[0]-None-1000.pkl","1371508","67796","9.479033086448908","75.364013671875","[221.02,9.15,0.01,0.08,0]","1.864923879504204","[18243151338,117383019937,119713729005,0]","[361298770.98,5720.21,26739815.95,557947592.42,9225.11,0,35132.44,1911315.28,0,0]","0.4641465246677398","0.5098856091499329","0","0.4735626317560673","1008.38671875","[1057370112,8536743936,237948928,2838528,0,3440697344,0,1037668352,1042118656,0]","106022","13881"
"gcn-pokec-z-cluster-cpu-32-20-2-16-3500-1024-[0]-None-1000","finished","-","","","2024-06-26T13:29:56.000Z","31","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","3500","32","1","cluster","10","","0.9189037680625916","0.3674151003360748","5.809731170535088","25.43943753093481","1905.19091796875","0","1.5653400644659996","-29.19453763961792","2024-06-26-15-29-56-gcn-pokec-z-cluster-cpu-32-20-2-16-3500-1024-[0]-None-1000.pkl","1371508","67796","9.16782522201538","71.90048217773438","[210.66,11.1,0.03,0.06,0]","1.79857187718153","[18243073173,117382896109,119713627214,0]","[361298546.59,5720.21,26739804,557946738.57,9225.09,0,35132.4,1911314.29,0,0]","0.4641465246677398","0.5093095302581787","0","0.4579982465133071","940.87890625","[986583040,8468406272,238206976,2838528,0,3366957056,0,967860224,972238848,0]","186152","19836"
"gcn-pokec-z-cluster-cpu-32-20-2-16-2500-1024-[0]-None-1000","finished","-","","","2024-06-26T13:29:24.000Z","23","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","2500","32","1","cluster","10","","0.9189037680625916","0.37308603525161743","5.8390868827700615","19.563964877277613","869.5702514648438","0","1.6697192937135696","-13.22573184967041","2024-06-26-15-29-24-gcn-pokec-z-cluster-cpu-32-20-2-16-2500-1024-[0]-None-1000.pkl","1371508","67796","8.58636736124754","33.66839599609375","[192.31,16.24,0.01,0.07,0]","1.6939504109323025","[18242989713,117382774334,119713527186,0]","[361298332.91,5720.21,26739790.13,557945755.93,9225.05,0,35132.33,1911313.04,0,0]","0.4641465246677398","0.5301928520202637","0","0.428962623141706","963.58984375","[1010397184,8495996928,237596672,2838528,0,3389333504,0,990924800,995314688,0]","319520","27781"
"gcn-pokec-z-cluster-cpu-32-20-2-16-2250-1024-[0]-None-1000","finished","-","","","2024-06-26T13:28:50.000Z","26","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","2250","32","1","cluster","10","","0.9189037680625916","0.3711857795715332","5.76934290677309","19.941729307174683","508.045166015625","0","1.7690662704408169","-7.434201876322429","2024-06-26-15-28-50-gcn-pokec-z-cluster-cpu-32-20-2-16-2250-1024-[0]-None-1000.pkl","1371508","67796","9.003099169582129","19.886802673339844","[191.64,19.21,0.01,0.08,0]","1.6307438500225544","[18242915431,117382657757,119713433362,0]","[361298138.03,5720.21,26739771.25,557944888.96,9225.01,0,35132.28,1911312.17,0,0]","0.4641465246677398","0.5533608198165894","0","0.4497912978753448","970.8046875","[1017962496,8497291264,236961792,2838528,0,3401928704,0,998641664,1003143168,0]","387474","30866"
"gcn-pokec-z-cluster-cpu-32-20-2-16-2000-1024-[0]-None-1000","finished","-","","","2024-06-26T13:28:17.000Z","24","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","2000","32","1","cluster","10","","0.9189037680625916","0.38955870270729065","6.0711473524570465","20.536388132721186","509.2208862304687","0","1.6436378620564938","-7.792111158370972","2024-06-26-15-28-17-gcn-pokec-z-cluster-cpu-32-20-2-16-2000-1024-[0]-None-1000.pkl","1371508","67796","9.328425019979475","20.151527404785156","[188.61,20.1,0.02,0.07,0]","1.7110987529158592","[18242836229,117382536612,119713334107,0]","[361297942.68,5720.21,26739749.23,557944071.68,9224.98,0,35132.24,1911311.1,0,0]","0.4641465246677398","0.5390287637710571","0","0.4661054652184248","1036.89453125","[1087262720,8572018688,237326336,2838528,0,3466248192,0,1067659264,1072119808,0]","444218","34703"
"gcn-pokec-z-fastgcn-cpu-32-20-2-16-10-1024-[0]-[12000]-1000","finished","-","","","2024-06-06T17:31:00.000Z","33","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","10","32","3","fastgcn","10","[12000]","0.6495126485824585","0.6894302368164062","5.682673528790474","30.674382843077183","4.979136943817139","0.6598562002182007","1.957598485983908","0.7343138754367828","2024-06-06-19-31-01-gcn-pokec-z-fastgcn-cpu-32-20-2-16-10-1024-[0]-[12000]-1000.pkl","1303712","67796","22.485219107940793","0.10531257838010788","[585.96,14.77,0,0.04,0]","0.03607736434787512","[6457192081,31542380975,30726136902,0]","[88573333.59,1319.19,8856100,159236761.79,1680.43,0,10468.98,561585.53,0,0]","0.671083390712738","0.7065091729164124","0.6674546599388123","1.1239274765830487","868.7734375","[910974976,8052789248,200015872,2838528,0,3416829952,0,891596800,895260672,0]","",""
