"Name,""State"",""Notes"",""User"",""Tags"",""Created"",""Runtime"",""Sweep"",""architecture"",""batch_size"",""budget"",""run"",""dataset"",""epochs"",""fanout"",""hidden"",""layer"",""mode"",""num_parts"",""num_threads"",""test-acc"",""sampler"",""accuracy"",""dataloading time"",""end-to-end time"",""inference time"",""loss"",""overall training time"",""process cpu times"",""sampling time"",""system cpu stats"",""system cpu times"",""time per epoch"",""used memory"",""used memory full"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[350000]-1000,""finished"",""-"",""jana-vatter"","""",""2024-01-01T05:44:09.000Z"",""47154"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[350000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6378531455993652"",""ladies"",""0.804872453212738"",""11.855175828561189"",""47148.85300983675"",""124.9923115093261"",""0.8727040185829519"",""46986.00360385887"",""[756517.1,90405.62,0,0.04,0.01]"",""25.447222348302603"",""[6955234558,28538407508,26178880550,0]"",""[74201075.98,1621.08,8476227.93,376108060.93,3695.53,0,11386.4,483483.1,0,0]"",""2349.299396837875"",""25121.58203125"",""[26341888000,33152430080,199884800,2838528,0,28844511232,0,26326450176,26334379008,0]"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[300000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-31T17:27:55.000Z"",""44165"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[300000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6032621264457703"",""ladies"",""0.7832565903663635"",""11.474478600546718"",""44161.00127195567"",""136.80116029269993"",""1.0174996710811872"",""43989.18115903996"",""[711881.61,88905.7,0,0.05,0]"",""22.977025032043457"",""[6918075888,28295732776,25931040446,0]"",""[73448852.68,1621.08,8386290.1,375446544.64,3681.13,0,11356.3,478246.17,0,0]"",""2199.4580729994923"",""25018.76171875"",""[26234073088,33007714304,200343552,2838528,0,28735815680,0,26218741760,26226436096,0]"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[200000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-31T06:44:53.000Z"",""38572"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[200000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6358762383460999"",""ladies"",""0.8032194972038269"",""11.686138538643718"",""38567.27245648764"",""128.35599180869758"",""0.9095689092275392"",""38402.626608612016"",""[611853.04,77574.06,0,0.04,0]"",""24.022019675001506"",""[6881797874,28064868687,25699088467,0]"",""[72740858.85,1609.31,8297824.36,374834462.38,3667.33,0,11327.78,473431.78,0,0]"",""1920.1306275569832"",""25334.94140625"",""[26565611520,33419239424,199282688,2838528,0,29069017088,0,26551205888,26558717952,0]"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[115000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-31T00:06:23.000Z"",""23901"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[115000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6600144505500793"",""ladies"",""0.8221142888069153"",""12.00352935679257"",""23895.69516282901"",""125.26364096067846"",""0.8316748500487965"",""23734.450672393665"",""[352507.46,48022.12,0,0.04,0]"",""23.40946765616536"",""[6846780207,27862795623,25492592240,0]"",""[72132410.09,1609.31,8220644.65,374289909.89,3655.25,0,11299.86,469182.82,0,0]"",""1186.7219968807883"",""21401.26953125"",""[22440857600,33543528448,199741440,2838528,0,24968732672,0,22427717632,22435458048,0]"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[50000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-30T21:41:53.000Z"",""8661"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[50000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6585454344749451"",""ladies"",""0.820105254650116"",""12.002718368545176"",""8654.687448125333"",""130.6038370821625"",""0.9547958997864796"",""8487.725133989006"",""[123179.09,12851.44,0,0.04,0]"",""23.69899563677609"",""[6815792673,27732823257,25368568354,0]"",""[71781642.53,1596.26,8172830.85,373925770.92,3648.14,0,11267.54,466847.08,0,0]"",""424.385661940556"",""15628.4765625"",""[16387645440,35051171840,198868992,2838528,0,18915221504,0,16373731328,16381365248,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[350000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-30T14:28:18.000Z"",""26006"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[350000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6460357904434204"",""fastgcn"",""0.8095771074295044"",""11.9027155097574"",""26000.494637597352"",""127.96307396702468"",""0.995807233252056"",""25835.441494852304"",""[215024.81,31185.98,0,0.04,0]"",""24.592375356703997"",""[6796164703,27674913096,25319923920,0]"",""[71659036.68,1596.13,8160021.59,373784640.94,3644.62,0,11244.32,466039.62,0,0]"",""1291.7715233359486"",""22969.52734375"",""[24085295104,34095349760,199290880,2838528,0,30672371712,0,24071557120,24079418368,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[300000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-30T08:01:53.000Z"",""23176"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[300000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6410816311836243"",""fastgcn"",""0.8121201395988464"",""11.734708277508616"",""23168.572089424357"",""121.01530806347728"",""1.046449896276306"",""23012.755806853995"",""[185835.13,24298.12,0,0.04,0]"",""22.484645826742053"",""[6770890710,27587575011,25239486224,0]"",""[71444985.18,1596.13,8128956.35,373198743.34,3632.99,0,11218.36,464629.15,0,0]"",""1150.637215803843"",""26778.67578125"",""[28079476736,34892316672,198520832,2838528,0,30584979456,0,28066111488,28073687040,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[200000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-30T02:38:22.000Z"",""19400"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[200000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6442220211029053"",""fastgcn"",""0.8011596202850342"",""12.056504582986236"",""19395.298471508548"",""131.41977836936712"",""1.1197488604431942"",""19229.69116681255"",""[122534.69,17300.95,0,0.05,0]"",""21.51910683326423"",""[6747008106,27510375200,25169992502,0]"",""[71259974.01,1596.13,8104743.1,372667379.88,3622.73,0,11188.35,463457.73,0,0]"",""961.483941812534"",""19367.67578125"",""[20308480000,34231832576,198557696,2838528,0,22864707584,0,20294660096,20302294016,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[115000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-29T22:28:33.000Z"",""14980"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[115000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6416686177253723"",""fastgcn"",""0.7844772934913635"",""12.273114388808608"",""14975.715797761455"",""124.78517911210656"",""1.253939554790141"",""14815.640737863258"",""[74148.95,8014.43,0,0.04,0]"",""22.472543247044086"",""[6726634761,27451350845,25118896381,0]"",""[71137912.6,1594.62,8087489.87,372186507.95,3613.8,0,11163.85,462638.58,0,0]"",""740.7814373098314"",""15556.55078125"",""[16312225792,34046386176,198713344,2838528,0,18820648960,0,16295436288,16303070208,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[50000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-29T18:42:03.000Z"",""13581"","""",""gat"",""1024"",""1000"",""3"",""ogbn-products"",""20"",""[50000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6421959400177002"",""fastgcn"",""0.7474760413169861"",""11.963788269087672"",""13575.049803661184"",""120.9525486715138"",""1.5336337960445818"",""13418.592382265257"",""[44845.99,2448.26,0,0.04,0]"",""22.971784165129066"",""[6711922532,27410539709,25084825499,0]"",""[71064028.12,1587.2,8079482.24,371789281.38,3606.65,0,11140,462164.34,0,0]"",""670.9291060644202"",""14552.9765625"",""[15259901952,33154256896,199405568,2838528,0,17847967744,0,15246319616,15254097920,0]"""
